incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,fire_LON,fire_LAT,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,created,log_acres,aspect,elevation,first,hillshade,slope,fire_date,fire_id,matched_veg_LAT,matched_veg_LON,location_distance_degrees,STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,veg_LAT,veg_LON,ELE,veg_date,date_gap_days
Lone Fire,Y,2013-06-03T20:00:00Z,2013-06-03T13:49:00Z,CAL FIRE Butte Unit,,Butte,Palermo Road and Lone Tree Road near Palermo,298.0,100.0,All road closures have been lifted.,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",-121.576804,39.434183,,1a5192f1-bc99-4130-8683-381e0534b76a,https://www.fire.ca.gov/incidents/2013/6/3/lone-fire/,2013-06-03T20:00:00Z,2013-06-03,2013-06-03,N,True,False,2013-06-03,2.4742162640762553,202.0,46.443885803222656,4.125301375455335,181.0,1.0,2013-06-03,30,39.65416666666667,-121.46277777777776,0.24777972668155862,107,2013-06-01,Manzanita,Greenleaf,103.0,Bloomer Hill - SW Old,NOCC,CalFire Butte Unit,39.65416666666667,-121.46277777777776,3000.0,2013-06-01,2
152 Fire,Y,2013-06-05T08:30:00Z,2013-06-04T15:42:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Merced,Hwy 152 in San Luis Creek Reservoir,124.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-121.006939,37.03776,,f9e85371-fc46-4f54-822c-7dcdaadde551,https://www.fire.ca.gov/incidents/2013/6/4/152-fire/,2013-06-05T08:30:00Z,2013-06-05,2013-06-04,N,True,False,2013-06-04,2.093421685162235,42.0,123.2836456298828,23.291360539145643,160.0,9.0,2013-06-04,32,36.54472222222222,-121.16083333333334,0.5164975470882356,1116,2013-06-02,Chamise,New Growth,71.0,Smith Ranch,SOCC,CAL FIRE San Benito- Monterey Unit,36.54472222222222,-121.16083333333334,1400.0,2013-06-02,2
Vasco Fire,Y,2013-06-08T13:25:00Z,2013-06-08T10:16:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Vasco Road & North Vasco Road, north of Livermore",240.0,100.0,,CAL FIRE Santa Clara Unit,-121.737213,37.775057,,2ad509e4-99f1-4e1a-81eb-839f772f9c45,https://www.fire.ca.gov/incidents/2013/6/8/vasco-fire/,2013-06-08T13:25:00Z,2013-06-08,2013-06-08,N,True,False,2013-06-08,2.380211241711606,131.0,237.94924926757812,23.003448076619996,155.0,10.0,2013-06-08,35,37.91361111111111,-121.85166666666666,0.17971333706554435,222,2013-06-03,Chamise,New Growth,87.0,Clayton Ranch,NOCC,CalFire Santa Clara Unit,37.91361111111111,-121.85166666666666,1075.0,2013-06-03,5
Roadrunner Fire,Y,2013-06-13T09:45:00Z,2013-06-12T16:43:00Z,CAL FIRE Amador-El Dorado Unit,,Amador,"Roadrunner Drive, south of Ione",96.0,100.0,,CAL FIRE Amador-El Dorado Unit,-120.966016,38.27783,,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,https://www.fire.ca.gov/incidents/2013/6/12/roadrunner-fire/,2013-06-13T09:45:00Z,2013-06-13,2013-06-12,N,True,False,2013-06-12,1.9822712330395684,48.0,92.37034606933594,13.546358738202883,160.0,9.0,2013-06-12,38,38.41138888888889,-120.8863888888889,0.15549422376774014,1259,2013-03-12,Chamise,Old Growth,106.0,Tonzi Road,NOCC,CAL FIRE Amador-Eldorado Unit,38.41138888888889,-120.8863888888889,700.0,2013-03-12,92
Freeman Fire,Y,2013-06-29T18:30:00Z,2013-06-29T14:09:00Z,CAL FIRE San Benito-Monterey Unit ,,Monterey,"off Hwy 198, 10 miles east of King City",105.0,100.0,,CAL FIRE San Benito-Monterey Unit ,-120.8973,36.1531,,58317b8d-7f4d-466f-b2c7-035c25fb00f0,https://www.fire.ca.gov/incidents/2013/6/29/freeman-fire/,2013-06-29T18:30:00Z,2013-06-29,2013-06-29,N,True,False,2013-06-29,2.0211892990699383,270.0,381.7290954589844,58.30020239046003,255.0,37.0,2013-06-29,52,35.950833333333335,-121.00083333333332,0.22722446073332894,716,2013-06-14,Chamise,,93.0,Lockwood New Growth,SOCC,CAL FIRE San Benito- Monterey Unit,35.950833333333335,-121.00083333333332,2800.0,2013-06-14,15
Kirker Fire,Y,2022-10-24T11:37:51Z,2013-07-01T13:19:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,Kirker Pass Road south of Pittsburg,492.0,100.0,,CAL FIRE Santa Clara Unit,-121.91453,37.96866,,522114fe-ada8-49a9-9bb2-5891103ff0ca,https://www.fire.ca.gov/incidents/2013/7/1/kirker-fire/,2013-07-01T18:40:00Z,2013-07-01,2013-07-01,N,True,False,2013-07-01,2.69196510276736,112.0,301.1544189453125,72.96098887998036,101.0,28.0,2013-07-01,53,37.91361111111111,-121.85166666666666,0.0835594330143522,222,2013-06-03,Chamise,New Growth,87.0,Clayton Ranch,NOCC,CalFire Santa Clara Unit,37.91361111111111,-121.85166666666666,1075.0,2013-06-03,28
Fox Fire (formally 3-7 Fire),Y,2013-07-05T18:30:00Z,2013-07-03T22:56:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,5 miles northwest of Aiden,502.0,100.0,,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,,8b51033d-abc6-4ea4-8983-990ad4e1c45e,https://www.fire.ca.gov/incidents/2013/7/3/fox-fire-formally-3-7-fire/,2013-07-05T18:30:00Z,2013-07-05,2013-07-03,N,True,False,2013-07-03,2.7007037171450192,206.0,1413.7818603515625,53.29145063733878,191.0,7.0,2013-07-03,55,41.1075,-121.00194444444443,0.1380169183581746,190,2013-06-15,Manzanita,Greenleaf,86.0,Cary Reservoir,NOCC,Modoc NF,41.1075,-121.00194444444443,4700.0,2013-06-15,18
Vina Fire,Y,2013-07-04T10:30:00Z,2013-07-04T07:30:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Tehama-Vina Rd and Sherman Rd, Los Molinos",200.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,,c94959d7-eb88-4724-8feb-ba0662afca10,https://www.fire.ca.gov/incidents/2013/7/4/vina-fire/,2013-07-04T10:30:00Z,2013-07-04,2013-07-04,N,True,False,2013-07-04,2.3010299956639813,258.0,67.35952758789062,8.97486625655535,194.0,5.0,2013-07-04,56,40.26888888888889,-121.86805555555554,0.332645995899868,581,2013-07-03,Mahogany,Alderleaf Mountain,92.0,Hogsback,NOCC,Lassen NF,40.26888888888889,-121.86805555555554,2705.0,2013-07-03,1
Grant Fire,Y,2013-07-04T11:30:00Z,2013-07-04T10:00:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",50.0,100.0,,CAL FIRE Santa Clara Unit,-121.5869,37.7393,,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,https://www.fire.ca.gov/incidents/2013/7/4/grant-fire/,2013-07-04T11:30:00Z,2013-07-04,2013-07-04,N,True,False,2013-07-04,1.6989700043360187,37.0,99.66570281982422,14.06090193170566,175.0,3.0,2013-07-04,57,37.91361111111111,-121.85166666666666,0.3169948757228788,222,2013-06-03,Chamise,New Growth,87.0,Clayton Ranch,NOCC,CalFire Santa Clara Unit,37.91361111111111,-121.85166666666666,1075.0,2013-06-03,31
Fallon Fire,Y,2013-07-06T14:30:00Z,2013-07-06T13:09:00Z,CAL FIRE Santa Clara Unit / Alameda County Fire,,Alameda,off Fallon Rd & Camino Tassajara near Dublin ,38.0,100.0,,CAL FIRE Santa Clara Unit / Alameda County Fire,-121.86216,37.74241,,4c04a4e5-f580-4e62-bb53-2575c72d29dc,https://www.fire.ca.gov/incidents/2013/7/6/fallon-fire/,2013-07-06T14:30:00Z,2013-07-06,2013-07-06,N,True,False,2013-07-06,1.57978359661681,169.0,195.89295959472656,34.921942461865804,170.0,18.0,2013-07-06,58,37.91361111111111,-121.85166666666666,0.1715223906378498,222,2013-06-03,Chamise,New Growth,87.0,Clayton Ranch,NOCC,CalFire Santa Clara Unit,37.91361111111111,-121.85166666666666,1075.0,2013-06-03,33
Chariot Fire,Y,2013-07-15T06:15:00Z,2013-07-06T12:55:00Z,CAL FIRE San Diego Unit / Cleveland National Forest,,San Diego,"off Sunrise Hwy, 9 miles southeast of Julian",7055.0,100.0,,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",-116.47381,32.95435,,ee19b2ec-a96a-4738-994e-fb3ea016e053,https://www.fire.ca.gov/incidents/2013/7/6/chariot-fire/,2013-07-15T06:15:00Z,2013-07-15,2013-07-06,N,True,False,2013-07-06,3.8484970180903666,66.0,940.9776611328124,112.13695264853035,119.0,22.0,2013-07-06,59,32.86555555555556,-116.61777777777776,0.1691483798399,375,2013-07-04,Chamise,,70.0,Descanso-New Growth,SOCC,SDG&E,32.86555555555556,-116.61777777777776,3504.0,2013-07-04,2
Kyburz Fire,Y,2013-07-11T18:30:00Z,2013-07-08T12:45:00Z,Eldorado National Forest,,El Dorado,"Off Hwy 50 at 30 Mile Tract, Kyburz",572.0,100.0,,Eldorado National Forest,-120.298,38.774,,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,https://www.fire.ca.gov/incidents/2013/7/8/kyburz-fire/,2013-07-11T18:30:00Z,2013-07-11,2013-07-08,N,False,False,2013-07-08,2.7573960287930244,340.0,1230.4259033203125,76.24246212808875,189.0,8.0,2013-07-08,63,38.7875,-120.31277777777775,0.02001581165100819,1192,2013-06-04,Manzanita,Greenleaf,99.0,Sugarloaf,NOCC,Eldorado NF,38.7875,-120.31277777777775,6130.0,2013-06-04,34
Mountain Fire,Y,2022-10-24T11:38:10Z,2013-07-15T13:43:00Z,CAL FIRE Riverside Unit / San Bernardino National Forest,,Riverside,Hwy 243 & Hwy 74 near Mountain Center,27531.0,100.0,,CAL FIRE Riverside Unit / San Bernardino National Forest,-116.72885,33.7095,,a3149fec-4d48-427c-8b2c-59e8b79d59db,https://www.fire.ca.gov/incidents/2013/7/15/mountain-fire/,2013-07-30T18:00:00Z,2013-07-30,2013-07-15,N,True,False,2013-07-15,4.439821986424003,326.0,1366.550048828125,29.785650553654147,203.0,13.0,2013-07-15,66,33.72166666666667,-116.7225,0.013724076572866149,916,2013-07-04,Chamise,,68.0,Pine Cove,SOCC,CAL FIRE Riverside Unit,33.72166666666667,-116.7225,5020.0,2013-07-04,11
Flume Fire,Y,2013-07-28T17:50:00Z,2013-07-28T09:43:00Z,CAL FIRE San Diego Unit,,San Diego,Barrett Lake Road and Highway 94,25.0,100.0,,CAL FIRE San Diego Unit,-116.707335,32.612773,,c6cfeed9-55bb-4fdb-8a52-e4d947dba721,https://www.fire.ca.gov/incidents/2013/7/28/flume-fire/,2013-07-28T17:50:00Z,2013-07-28,2013-07-28,N,True,False,2013-07-28,1.3979400086720375,166.0,274.93994140625,63.782151318956,174.0,9.0,2013-07-28,68,32.66638888888889,-116.7,0.054115300667611374,66,2013-07-25,Chamise,New Growth,54.0,Barrett,SOCC,SDG&E,32.66638888888889,-116.7,2500.0,2013-07-25,3
Salmon River Complex,Y,2013-08-31T06:45:00Z,2013-07-31T22:00:00Z,Klamath National Forest,,Siskiyou,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",14754.0,100.0,,Klamath National Forest,-123.176,41.32,,ba76c009-09c9-497c-b923-1ac8cf05c20d,https://www.fire.ca.gov/incidents/2013/7/31/salmon-river-complex/,2013-08-31T06:45:00Z,2013-08-31,2013-07-31,N,False,False,2013-07-31,4.168909779122361,42.0,603.4859619140625,90.41582089255078,166.0,7.0,2013-07-31,70,41.269444444444446,-123.1875,0.05184702689191272,112,2013-07-17,Ceanothus,Snowbrush,141.0,Blue Ridge,NOCC,Klamath NF,41.269444444444446,-123.1875,5880.0,2013-07-17,14
Branch Fire,Y,2013-08-04T14:45:00Z,2013-08-01T16:01:00Z,CAL FIRE Butte Unit,,Butte,Near Rocky Peak - North Fork Lake Oroville near Cherokee,92.0,100.0,,CAL FIRE Butte Unit,-121.50354,39.6612,,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,https://www.fire.ca.gov/incidents/2013/8/1/branch-fire/,2013-08-04T14:45:00Z,2013-08-04,2013-08-01,N,True,False,2013-08-01,1.9637878273455551,232.0,343.3011779785156,67.4851562876312,246.0,27.0,2013-08-01,71,39.65416666666667,-121.46277777777776,0.04136455654631341,107,2013-08-01,Manzanita,Greenleaf,111.0,Bloomer Hill - SW Old,NOCC,CalFire Butte Unit,39.65416666666667,-121.46277777777776,3000.0,2013-08-01,0
Paskenta Fire,Y,2013-07-19T15:00:00Z,2013-07-19T13:32:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,West of Corning,195.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.330879,39.961309,,4423899b-6197-4ef5-9f73-bca1763f17e6,https://www.fire.ca.gov/incidents/2013/7/19/paskenta-fire/,2013-07-19T15:00:00Z,2013-07-19,2013-07-19,N,True,False,2013-07-19,2.290034611362518,134.0,133.0294647216797,8.138203211502981,179.0,1.0,2013-07-19,77,39.66444444444444,-122.63805555555555,0.42718380192626154,444,2013-02-26,Chamise,Old Growth,75.0,FH-7 - Old Growth,NOCC,Mendocino NF,39.66444444444444,-122.63805555555555,2400.0,2013-02-26,143
Chuckwagon Fire,Y,2013-07-23T15:10:00Z,2013-07-22T12:34:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,"near the 4500 block of Chuckwagon Drive, Copperopolis",31.0,100.0,,CAL FIRE Tuolumne-Calaveras Unit,-120.696362,37.965364,,68dadbb3-6a63-483a-add9-491a69d9e0ad,https://www.fire.ca.gov/incidents/2013/7/22/chuckwagon-fire/,2013-07-23T15:10:00Z,2013-07-23,2013-07-22,N,True,False,2013-07-22,1.4913616938342726,187.0,292.0381774902344,15.038580740143916,186.0,14.0,2013-07-22,82,38.11472222222223,-120.79,0.17628373035928807,1287,2013-07-08,Chamise,New Growth,63.0,Valley Springs,SOCC,CAL FIRE Toulumne-Calaveras Unit,38.11472222222223,-120.79,908.0,2013-07-08,14
Falls Fire,Y,2013-08-09T18:45:00Z,2013-08-05T10:10:00Z,Cleveland National Forest / CAL FIRE Riverside Unit,,Riverside,"Ortega Highway, west of Lake Elsinoire",1383.0,100.0,,Cleveland National Forest / CAL FIRE Riverside Unit,-117.40288,33.62236,,4867ac70-663e-48f4-b9ae-ca0a486234ca,https://www.fire.ca.gov/incidents/2013/8/5/falls-fire/,2013-08-09T18:45:00Z,2013-08-09,2013-08-05,N,True,False,2013-08-05,3.1408221801093106,148.0,768.3829956054688,67.78559674609663,161.0,12.0,2013-08-05,84,33.6625,-117.41722222222222,0.04262533211919618,407,2013-02-25,Chamise,New Growth,118.0,El Cariso CNF,SOCC,Cleveland NF,33.6625,-117.41722222222222,2975.0,2013-02-25,161
Corral Complex,Y,2013-08-12T12:00:00Z,2013-08-10T11:40:00Z,Six Rivers National Forest,,Humboldt,Tish Tang Ridge east of Hoopa Valley Reservation,12503.0,100.0,,Six Rivers National Forest,-123.488,41.035,,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,https://www.fire.ca.gov/incidents/2013/8/10/corral-complex/,2013-08-12T12:00:00Z,2013-08-12,2013-08-10,N,False,False,2013-08-10,4.097014231178033,205.0,1466.94970703125,100.04477329798854,204.0,18.0,2013-08-10,88,40.89305555555555,-123.51805555555556,0.14509156325712577,1359,2013-07-15,Tanoak,,90.0,Ziegler,NOCC,Six Rivers NF,40.89305555555555,-123.51805555555556,1950.0,2013-07-15,26
Cottonwood Fire,Y,2013-08-15T17:00:00Z,2013-08-15T14:40:00Z,CAL FIRE Siskiyou Unit,,Siskiyou,"Cottonwood Creek Rd., 2 miles north of Hornbrook",50.0,100.0,,CAL FIRE Siskiyou Unit,-122.578393,41.923323,,e16c204e-58d6-4f78-bc97-729b16ef9f83,https://www.fire.ca.gov/incidents/2013/8/15/cottonwood-fire/,2013-08-15T17:00:00Z,2013-08-15,2013-08-15,N,True,False,2013-08-15,1.6989700043360187,60.0,708.3243408203125,21.38366924045327,176.0,1.0,2013-08-15,89,41.7116,-122.6589,0.22651270555534458,523,2013-08-01,Manzanita,Greenleaf,94.0,Greenhorn Yreka,NOCC,CalFire Siskiyou Unit,41.7116,-122.6589,2780.0,2013-08-01,14
Sharp Fire,Y,2013-08-13T23:45:00Z,2013-08-08T12:15:00Z,Angeles National Forest,,San Bernardino,Sheep canyon just south of Wrightwood,243.0,100.0,,Angeles National Forest,-117.62,34.35,,62eabea3-40be-497d-94e4-150f011b925f,https://www.fire.ca.gov/incidents/2013/8/8/sharp-fire/,2013-08-13T23:45:00Z,2013-08-13,2013-08-08,N,False,False,2013-08-08,2.385606273598312,305.0,1801.89697265625,80.13563086485293,200.0,8.0,2013-08-08,91,34.2338,-117.6639,0.12421614226822233,816,2013-07-10,Manzanita,Bigberry,84.0,Mt. Baldy Village,SOCC,Angeles NF,34.2338,-117.6639,4279.0,2013-07-10,29
Plumas Lightning Complex (Hough),Y,2013-08-25T13:15:00Z,2013-08-18T18:30:00Z,Plumas National Forest,,Plumas,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,513.0,100.0,,Plumas National Forest,-120.764666,40.00842,,5015b3c2-2bae-4cce-9bf8-f1b25b0ce1e6,https://www.fire.ca.gov/incidents/2013/8/18/plumas-lightning-complex-hough/,2013-08-25T13:15:00Z,2013-08-25,2013-08-18,N,False,False,2013-08-18,2.710117365111816,322.0,1602.566162109375,190.0303402771604,246.0,36.0,2013-08-18,101,39.973333333333336,-120.94194444444445,0.18071724057880573,962,2013-08-09,Douglas-Fir,,129.0,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.94194444444445,3652.0,2013-08-09,9
Burney Lightning Series (Warner Fire),Y,2013-08-23T19:15:00Z,2013-08-19T17:48:00Z,CAL FIRE Shasta Unit ,,Shasta,Fall River Mills and McAruther area,196.0,100.0,,CAL FIRE Shasta Unit ,-121.3754,40.5445,,f21a41c6-0905-4531-9bdf-2456d0051eed,https://www.fire.ca.gov/incidents/2013/8/19/burney-lightning-series-warner-fire/,2013-08-23T19:15:00Z,2013-08-23,2013-08-19,N,True,False,2013-08-19,2.292256071356476,190.0,1951.5213623046875,18.031982361400456,182.0,3.0,2013-08-19,103,40.37777777777778,-121.32694444444444,0.17362096718689635,67,2013-08-15,Fir,Grand,177.0,Basin,NOCC,Lassen NF,40.37777777777778,-121.32694444444444,5680.0,2013-08-15,4
