State,County,FIPS,MapDate,DSCI
NV,Carson City,32510,20170926,0
NV,Carson City,32510,20171003,0
NV,Carson City,32510,20171010,0
NV,Carson City,32510,20171017,0
NV,Carson City,32510,20171024,0
NV,Carson City,32510,20171031,0
NV,Carson City,32510,20171107,0
NV,Carson City,32510,20171114,0
NV,Carson City,32510,20171121,0
NV,Carson City,32510,20171128,0
NV,Carson City,32510,20171205,0
NV,Carson City,32510,20171212,0
NV,Carson City,32510,20171219,0
NV,Carson City,32510,20171226,0
NV,Carson City,32510,20180102,0
NV,Carson City,32510,20180109,0
NV,Carson City,32510,20180116,0
NV,Carson City,32510,20180123,0
NV,Carson City,32510,20180130,100
NV,Carson City,32510,20180206,100
NV,Carson City,32510,20180213,100
NV,Carson City,32510,20180220,100
NV,Carson City,32510,20180227,100
NV,Carson City,32510,20180306,100
NV,Carson City,32510,20180313,100
NV,Carson City,32510,20180320,100
NV,Carson City,32510,20180327,0
NV,Carson City,32510,20180403,0
NV,Carson City,32510,20180410,0
NV,Carson City,32510,20180417,0
NV,Carson City,32510,20180424,0
NV,Carson City,32510,20180501,0
NV,Carson City,32510,20180508,0
NV,Carson City,32510,20180515,0
NV,Carson City,32510,20180522,0
NV,Carson City,32510,20180529,0
NV,Carson City,32510,20180605,0
NV,Carson City,32510,20180612,0
NV,Carson City,32510,20180619,0
NV,Carson City,32510,20180626,0
NV,Carson City,32510,20180703,0
NV,Carson City,32510,20180710,0
NV,Carson City,32510,20180717,0
NV,Carson City,32510,20180724,0
NV,Carson City,32510,20180731,0
NV,Carson City,32510,20180807,0
NV,Carson City,32510,20180814,0
NV,Carson City,32510,20180821,0
NV,Carson City,32510,20180828,0
NV,Carson City,32510,20180904,0
NV,Carson City,32510,20180911,0
NV,Carson City,32510,20180918,0
NV,Carson City,32510,20180925,0
NV,Carson City,32510,20181002,0
NV,Carson City,32510,20181009,0
NV,Carson City,32510,20181016,0
NV,Carson City,32510,20181023,0
NV,Carson City,32510,20181030,0
NV,Carson City,32510,20181106,100
NV,Carson City,32510,20181113,100
NV,Carson City,32510,20181120,133
NV,Carson City,32510,20181127,133
NV,Carson City,32510,20181204,100
NV,Carson City,32510,20181211,100
NV,Carson City,32510,20181218,100
NV,Carson City,32510,20181225,100
NV,Carson City,32510,20190101,100
NV,Carson City,32510,20190108,100
NV,Carson City,32510,20190115,100
NV,Carson City,32510,20190122,100
NV,Carson City,32510,20190129,0
NV,Carson City,32510,20190205,0
NV,Carson City,32510,20190212,0
NV,Carson City,32510,20190219,0
NV,Carson City,32510,20190226,0
NV,Carson City,32510,20190305,0
NV,Carson City,32510,20190312,0
NV,Carson City,32510,20190319,0
NV,Carson City,32510,20190326,0
NV,Carson City,32510,20190402,0
NV,Carson City,32510,20190409,0
NV,Carson City,32510,20190416,0
NV,Carson City,32510,20190423,0
NV,Carson City,32510,20190430,0
NV,Carson City,32510,20190507,0
NV,Carson City,32510,20190514,0
NV,Carson City,32510,20190521,0
NV,Carson City,32510,20190528,0
NV,Carson City,32510,20190604,0
NV,Carson City,32510,20190611,0
NV,Carson City,32510,20190618,0
NV,Carson City,32510,20190625,0
NV,Carson City,32510,20190702,0
NV,Carson City,32510,20190709,0
NV,Carson City,32510,20190716,0
NV,Carson City,32510,20190723,0
NV,Carson City,32510,20190730,0
NV,Carson City,32510,20190806,0
NV,Carson City,32510,20190813,0
NV,Carson City,32510,20190820,0
NV,Carson City,32510,20190827,0
NV,Carson City,32510,20190903,0
NV,Carson City,32510,20190910,0
NV,Carson City,32510,20190917,0
NV,Carson City,32510,20190924,0
NV,Carson City,32510,20191001,0
NV,Carson City,32510,20191008,0
NV,Carson City,32510,20191015,0
NV,Carson City,32510,20191022,100
NV,Carson City,32510,20191029,100
NV,Carson City,32510,20191105,100
NV,Carson City,32510,20191112,100
NV,Carson City,32510,20191119,100
NV,Carson City,32510,20191126,100
NV,Carson City,32510,20191203,100
NV,Carson City,32510,20191210,0
NV,Carson City,32510,20191217,0
NV,Carson City,32510,20191224,0
NV,Carson City,32510,20191231,0
NV,Carson City,32510,20200107,0
NV,Carson City,32510,20200114,0
NV,Carson City,32510,20200121,0
NV,Carson City,32510,20200128,100
NV,Carson City,32510,20200204,100
NV,Carson City,32510,20200211,100
NV,Carson City,32510,20200218,100
NV,Carson City,32510,20200225,100
NV,Carson City,32510,20200303,186
NV,Carson City,32510,20200310,200
NV,Carson City,32510,20200317,200
NV,Carson City,32510,20200324,200
NV,Carson City,32510,20200331,200
NV,Carson City,32510,20200407,200
NV,Carson City,32510,20200414,200
NV,Carson City,32510,20200421,200
NV,Carson City,32510,20200428,200
NV,Carson City,32510,20200505,200
NV,Carson City,32510,20200512,200
NV,Carson City,32510,20200519,200
NV,Carson City,32510,20200526,200
NV,Carson City,32510,20200602,200
NV,Carson City,32510,20200609,200
NV,Carson City,32510,20200616,200
NV,Carson City,32510,20200623,200
NV,Carson City,32510,20200630,200
NV,Carson City,32510,20200707,200
NV,Carson City,32510,20200714,200
NV,Carson City,32510,20200721,200
NV,Carson City,32510,20200728,200
NV,Carson City,32510,20200804,200
NV,Carson City,32510,20200811,200
NV,Carson City,32510,20200818,200
NV,Carson City,32510,20200825,200
NV,Carson City,32510,20200901,200
NV,Carson City,32510,20200908,200
NV,Carson City,32510,20200915,200
NV,Carson City,32510,20200922,200
NV,Carson City,32510,20200929,200
NV,Carson City,32510,20201006,200
NV,Carson City,32510,20201013,200
NV,Carson City,32510,20201020,200
NV,Carson City,32510,20201027,200
NV,Carson City,32510,20201103,200
NV,Carson City,32510,20201110,200
NV,Carson City,32510,20201117,200
NV,Carson City,32510,20201124,200
NV,Carson City,32510,20201201,200
NV,Carson City,32510,20201208,300
NV,Carson City,32510,20201215,300
NV,Carson City,32510,20201222,300
NV,Carson City,32510,20201229,300
NV,Carson City,32510,20210105,300
NV,Carson City,32510,20210112,300
NV,Carson City,32510,20210119,300
NV,Carson City,32510,20210126,300
NV,Carson City,32510,20210202,273
NV,Carson City,32510,20210209,273
NV,Carson City,32510,20210216,273
NV,Carson City,32510,20210223,273
NV,Carson City,32510,20210302,273
NV,Carson City,32510,20210309,300
NV,Carson City,32510,20210316,300
NV,Carson City,32510,20210323,300
NV,Carson City,32510,20210330,300
NV,Carson City,32510,20210406,334
NV,Carson City,32510,20210413,334
NV,Carson City,32510,20210420,334
NV,Carson City,32510,20210427,334
NV,Carson City,32510,20210504,334
NV,Carson City,32510,20210511,393
NV,Carson City,32510,20210518,393
NV,Carson City,32510,20210525,400
NV,Carson City,32510,20210601,400
NV,Carson City,32510,20210608,400
NV,Carson City,32510,20210615,400
NV,Carson City,32510,20210622,400
NV,Carson City,32510,20210629,400
NV,Carson City,32510,20210706,400
NV,Carson City,32510,20210713,400
NV,Carson City,32510,20210720,400
NV,Carson City,32510,20210727,400
NV,Carson City,32510,20210803,400
NV,Carson City,32510,20210810,400
NV,Carson City,32510,20210817,400
NV,Carson City,32510,20210824,400
NV,Carson City,32510,20210831,400
NV,Carson City,32510,20210907,400
NV,Carson City,32510,20210914,400
NV,Carson City,32510,20210921,400
NV,Carson City,32510,20210928,400
NV,Carson City,32510,20211005,400
NV,Carson City,32510,20211012,400
NV,Carson City,32510,20211019,400
NV,Carson City,32510,20211026,300
NV,Carson City,32510,20211102,300
NV,Carson City,32510,20211109,300
NV,Carson City,32510,20211116,300
NV,Carson City,32510,20211123,300
NV,Carson City,32510,20211130,300
NV,Carson City,32510,20211207,300
NV,Carson City,32510,20211214,300
NV,Carson City,32510,20211221,300
NV,Carson City,32510,20211228,300
NV,Carson City,32510,20220104,234
NV,Carson City,32510,20220111,200
NV,Carson City,32510,20220118,200
NV,Carson City,32510,20220125,200
NV,Carson City,32510,20220201,200
NV,Carson City,32510,20220208,200
NV,Carson City,32510,20220215,200
NV,Carson City,32510,20220222,200
NV,Carson City,32510,20220301,300
NV,Carson City,32510,20220308,300
NV,Carson City,32510,20220315,300
NV,Carson City,32510,20220322,300
NV,Carson City,32510,20220329,300
NV,Carson City,32510,20220405,300
NV,Carson City,32510,20220412,300
NV,Carson City,32510,20220419,300
NV,Carson City,32510,20220426,300
NV,Carson City,32510,20220503,300
NV,Carson City,32510,20220510,300
NV,Carson City,32510,20220517,300
NV,Carson City,32510,20220524,300
NV,Carson City,32510,20220531,300
NV,Carson City,32510,20220607,300
NV,Carson City,32510,20220614,300
NV,Carson City,32510,20220621,300
NV,Carson City,32510,20220628,300
NV,Carson City,32510,20220705,300
NV,Carson City,32510,20220712,300
NV,Carson City,32510,20220719,300
NV,Carson City,32510,20220726,300
NV,Carson City,32510,20220802,300
NV,Carson City,32510,20220809,300
NV,Carson City,32510,20220816,300
NV,Carson City,32510,20220823,300
NV,Carson City,32510,20220830,300
NV,Carson City,32510,20220906,300
NV,Carson City,32510,20220913,300
NV,Carson City,32510,20220920,300
NV,Carson City,32510,20220927,300
NV,Carson City,32510,20221004,300
NV,Carson City,32510,20221011,300
NV,Carson City,32510,20221018,300
NV,Carson City,32510,20221025,300
NV,Carson City,32510,20221101,300
NV,Carson City,32510,20221108,300
NV,Carson City,32510,20221115,300
NV,Carson City,32510,20221122,300
NV,Carson City,32510,20221129,300
NV,Carson City,32510,20221206,300
NV,Carson City,32510,20221213,300
NV,Carson City,32510,20221220,300
NV,Carson City,32510,20221227,300
NV,Carson City,32510,20230103,300
NV,Carson City,32510,20230110,200
NV,Carson City,32510,20230117,200
NV,Carson City,32510,20230124,200
NV,Carson City,32510,20230131,200
NV,Carson City,32510,20230207,153
NV,Carson City,32510,20230214,153
NV,Carson City,32510,20230221,153
NV,Carson City,32510,20230228,128
NV,Carson City,32510,20230307,128
NV,Carson City,32510,20230314,53
NV,Carson City,32510,20230321,53
NV,Carson City,32510,20230328,0
NV,Carson City,32510,20230404,0
NV,Carson City,32510,20230411,0
NV,Carson City,32510,20230418,0
NV,Carson City,32510,20230425,0
NV,Carson City,32510,20230502,0
NV,Carson City,32510,20230509,0
NV,Carson City,32510,20230516,0
NV,Carson City,32510,20230523,0
NV,Carson City,32510,20230530,0
NV,Carson City,32510,20230606,0
NV,Carson City,32510,20230613,0
NV,Carson City,32510,20230620,0
NV,Carson City,32510,20230627,0
NV,Carson City,32510,20230704,0
NV,Carson City,32510,20230711,0
NV,Carson City,32510,20230718,0
NV,Carson City,32510,20230725,0
NV,Carson City,32510,20230801,0
NV,Carson City,32510,20230808,0
NV,Carson City,32510,20230815,0
NV,Carson City,32510,20230822,0
NV,Carson City,32510,20230829,0
NV,Carson City,32510,20230905,0
NV,Carson City,32510,20230912,0
NV,Carson City,32510,20230919,0
NV,Carson City,32510,20230926,0
NV,Carson City,32510,20231003,0
NV,Carson City,32510,20231010,0
NV,Carson City,32510,20231017,0
