incident_id,incident_name,incident_latitude,incident_longitude,elevation,slope,aspect,hillshade,elev_stddev_1km
0fbfd3a0-c425-4a0e-a7ae-831220e20166,Riverview Fire,34.62078,-120.259123,113.50918579101600,3.0,114.0,173.0,32.62337291287560
eea01808-482f-4684-974f-a2b4e9608cf4,Lost Fire,36.048799,-120.164271,283.14129638671900,7.0,291.0,200.0,17.747272345346400
0e052869-ee1a-4358-8f0f-179baea54b3b,Alray Fire,34.35491,-117.467864,1337.0103759765600,22.0,94.0,112.0,50.573126476090600
cbff3a6b-6540-405f-a6ea-8e554042a20f,Campbell Fire,36.229517,-118.858046,814.7938842773440,6.0,274.0,201.0,90.80805178305840
3b90a126-3830-4950-8136-ef8684706a31,Hog Fire,40.24402,-121.972909,475.5737915039060,5.0,186.0,182.0,76.70982645572890
cea84acc-7922-4e0e-b8ad-1df4819eb573,Quarry Fire,32.69011,-117.01352,43.61748123168950,25.0,83.0,105.0,30.96265548871210
bb43ada8-6aba-4e9d-a1c9-b901804b5622,Montezuma Fire,32.77126,-117.09495,65.83373260498050,32.0,20.0,147.0,24.14832567213830
f5de79a3-7bf4-461b-a6d6-b16219a3027f,Gaylord Fire,39.925884,-122.132235,70.80506134033200,0.0,209.0,181.0,3.109585937950640
fdb3f801-7382-42c9-8377-57beef2432f2,Wolf Fire,33.886528,-116.90239,798.4137573242190,5.0,202.0,186.0,74.99544592024490
f78e6fd0-c260-486c-98b4-620938406a45,Mountain Fire,34.3189,-118.9689,282.3743896484380,18.0,192.0,192.0,34.30846825945060
698b289b-437c-4961-b187-c1f03a8edbe6,Broad Fire,34.033917,-118.704833,51.14754867553710,12.0,156.0,165.0,46.39469365007910
dbf89663-4a51-4869-aabd-9b3b49661af5,Lake Fire,40.342148,-123.420067,899.7744140625,11.0,126.0,153.0,43.64206965770230
57d63840-b05a-414b-ba25-27d8403302d5,Valley Fire,40.432155,-122.426405,239.3342437744140,1.0,69.0,177.0,12.532933622364800
98ef38c2-a266-4900-9430-bc73c8c36e83,Lemon Fire,36.393723,-119.011663,169.90176391601600,10.0,270.0,212.0,59.67182990041470
98160dda-7fdf-4765-995e-d8fb35460979,Horseshoe Fire,36.496333,-118.139117,2573.38525390625,30.0,109.0,94.0,197.52433294617800
18551530-3992-4731-9133-186480d092b2,Frenchman Fire,34.615371,-118.749654,661.2127075195310,16.0,96.0,131.0,105.94229641797100
