State,County,FIPS,MapDate,DSCI
CA,Alameda County,06001,20181009,100
CA,Alameda County,06001,20181016,100
CA,Alameda County,06001,20181023,100
CA,Alameda County,06001,20181030,100
CA,Alameda County,06001,20181106,100
CA,Alameda County,06001,20181113,100
CA,Alameda County,06001,20181120,200
CA,Alameda County,06001,20181127,200
CA,Alameda County,06001,20181204,200
CA,Alameda County,06001,20181211,150
CA,Alameda County,06001,20181218,150
CA,Alameda County,06001,20181225,150
CA,Alameda County,06001,20190101,150
CA,Alameda County,06001,20190108,150
CA,Alameda County,06001,20190115,150
CA,Alameda County,06001,20190122,150
CA,Alameda County,06001,20190129,51
CA,Alameda County,06001,20190205,72
CA,Alameda County,06001,20190212,0
CA,Alameda County,06001,20190219,0
CA,Alameda County,06001,20190226,0
CA,Alameda County,06001,20190305,0
CA,Alameda County,06001,20190312,0
CA,Alameda County,06001,20190319,0
CA,Alameda County,06001,20190326,0
CA,Alameda County,06001,20190402,0
CA,Alameda County,06001,20190409,0
CA,Alameda County,06001,20190416,0
CA,Alameda County,06001,20190423,0
CA,Alameda County,06001,20190430,0
CA,Alameda County,06001,20190507,0
CA,Alameda County,06001,20190514,0
CA,Alameda County,06001,20190521,0
CA,Alameda County,06001,20190528,0
CA,Alameda County,06001,20190604,0
CA,Alameda County,06001,20190611,0
CA,Alameda County,06001,20190618,0
CA,Alameda County,06001,20190625,0
CA,Alameda County,06001,20190702,0
CA,Alameda County,06001,20190709,0
CA,Alameda County,06001,20190716,0
CA,Alameda County,06001,20190723,0
CA,Alameda County,06001,20190730,0
CA,Alameda County,06001,20190806,0
CA,Alameda County,06001,20190813,0
CA,Alameda County,06001,20190820,0
CA,Alameda County,06001,20190827,0
CA,Alameda County,06001,20190903,0
CA,Alameda County,06001,20190910,0
CA,Alameda County,06001,20190917,0
CA,Alameda County,06001,20190924,0
CA,Alameda County,06001,20191001,0
CA,Alameda County,06001,20191008,0
CA,Alameda County,06001,20191015,0
CA,Alameda County,06001,20191022,0
CA,Alameda County,06001,20191029,0
CA,Alameda County,06001,20191105,0
CA,Alameda County,06001,20191112,100
CA,Alameda County,06001,20191119,100
CA,Alameda County,06001,20191126,100
CA,Alameda County,06001,20191203,100
CA,Alameda County,06001,20191210,0
CA,Alameda County,06001,20191217,0
CA,Alameda County,06001,20191224,0
CA,Alameda County,06001,20191231,0
CA,Alameda County,06001,20200107,0
CA,Alameda County,06001,20200114,0
CA,Alameda County,06001,20200121,0
CA,Alameda County,06001,20200128,91
CA,Alameda County,06001,20200204,91
CA,Alameda County,06001,20200211,97
CA,Alameda County,06001,20200218,97
CA,Alameda County,06001,20200225,105
CA,Alameda County,06001,20200303,199
CA,Alameda County,06001,20200310,200
CA,Alameda County,06001,20200317,200
CA,Alameda County,06001,20200324,200
CA,Alameda County,06001,20200331,200
CA,Alameda County,06001,20200407,200
CA,Alameda County,06001,20200414,200
CA,Alameda County,06001,20200421,245
CA,Alameda County,06001,20200428,245
CA,Alameda County,06001,20200505,245
CA,Alameda County,06001,20200512,245
CA,Alameda County,06001,20200519,245
CA,Alameda County,06001,20200526,245
CA,Alameda County,06001,20200602,245
CA,Alameda County,06001,20200609,245
CA,Alameda County,06001,20200616,245
CA,Alameda County,06001,20200623,245
CA,Alameda County,06001,20200630,245
CA,Alameda County,06001,20200707,245
CA,Alameda County,06001,20200714,245
CA,Alameda County,06001,20200721,245
CA,Alameda County,06001,20200728,245
CA,Alameda County,06001,20200804,245
CA,Alameda County,06001,20200811,245
CA,Alameda County,06001,20200818,245
CA,Alameda County,06001,20200825,245
CA,Alameda County,06001,20200901,243
CA,Alameda County,06001,20200908,290
CA,Alameda County,06001,20200915,290
CA,Alameda County,06001,20200922,290
CA,Alameda County,06001,20200929,295
CA,Alameda County,06001,20201006,295
CA,Alameda County,06001,20201013,295
CA,Alameda County,06001,20201020,295
CA,Alameda County,06001,20201027,295
CA,Alameda County,06001,20201103,295
CA,Alameda County,06001,20201110,295
CA,Alameda County,06001,20201117,295
CA,Alameda County,06001,20201124,300
CA,Alameda County,06001,20201201,300
CA,Alameda County,06001,20201208,300
CA,Alameda County,06001,20201215,300
CA,Alameda County,06001,20201222,300
CA,Alameda County,06001,20201229,300
CA,Alameda County,06001,20210105,300
CA,Alameda County,06001,20210112,300
CA,Alameda County,06001,20210119,300
CA,Alameda County,06001,20210126,300
CA,Alameda County,06001,20210202,221
CA,Alameda County,06001,20210209,221
CA,Alameda County,06001,20210216,221
CA,Alameda County,06001,20210223,221
CA,Alameda County,06001,20210302,221
CA,Alameda County,06001,20210309,221
CA,Alameda County,06001,20210316,221
CA,Alameda County,06001,20210323,222
CA,Alameda County,06001,20210330,222
CA,Alameda County,06001,20210406,222
CA,Alameda County,06001,20210413,223
CA,Alameda County,06001,20210420,311
CA,Alameda County,06001,20210427,391
CA,Alameda County,06001,20210504,400
CA,Alameda County,06001,20210511,400
CA,Alameda County,06001,20210518,440
CA,Alameda County,06001,20210525,464
CA,Alameda County,06001,20210601,464
CA,Alameda County,06001,20210608,464
CA,Alameda County,06001,20210615,464
CA,Alameda County,06001,20210622,464
CA,Alameda County,06001,20210629,464
CA,Alameda County,06001,20210706,464
CA,Alameda County,06001,20210713,464
CA,Alameda County,06001,20210720,464
CA,Alameda County,06001,20210727,499
CA,Alameda County,06001,20210803,499
CA,Alameda County,06001,20210810,499
CA,Alameda County,06001,20210817,499
CA,Alameda County,06001,20210824,499
CA,Alameda County,06001,20210831,499
