incident_name,incident_id,DSCI_current,DSCI_4wk_avg,DSCI_8wk_avg,DSCI_12wk_avg,DSCI_16wk_avg,DSCI_25wk_avg,DSCI_36wk_avg,DSCI_42wk_avg,DSCI_52wk_avg,eddi90d_current,spei180d_current,pdsi_current,eddi90d_1wk_avg,spei180d_1wk_avg,pdsi_1wk_avg,eddi90d_2wk_avg,spei180d_2wk_avg,pdsi_2wk_avg,eddi90d_4wk_avg,spei180d_4wk_avg,pdsi_4wk_avg
54 Fire,e215290f-d0b4-48fd-be32-f599959347b1,241.0,233.25,194.125,181.08333333333334,174.5625,173.45,173.45,173.45,173.45,1.4500000476837158,-1.0099999904632568,-2.130000114440918,1.204999923706055,-0.9549999833106996,-2.130000114440918,1.2866666316986084,-1.1200000047683716,-2.140000104904175,1.2616666555404663,-1.256666660308838,-2.158333301544189
Lake Fire,39af7eac-c188-411f-8c8a-d165c5fca4a9,229.0,226.5,179.25,163.66666666666666,156.0,165.4,165.4,165.4,165.4,1.690000057220459,-1.4500000476837158,-4.269999980926514,1.5700000524520874,-1.4500000476837158,-4.255000114440918,1.6100000143051147,-1.4500000476837158,-4.236666679382324,1.6483333110809326,-1.4500000476837158,-4.12833309173584
Lilly 2 Fire,2b765a08-c770-4b19-baa8-00dffe3fa838,300.0,267.0,244.5,229.75,215.3125,206.55,206.55,206.55,206.55,1.1299999952316284,-0.8999999761581421,-3.4600000381469727,1.1299999952316284,-0.8999999761581421,-3.4600000381469727,1.0133333206176758,-0.8999999761581421,-3.3399999141693115,0.9519999623298644,-0.944000005722046,-3.197999954223633
Cherry Fire,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,241.0,233.25,194.125,181.08333333333334,174.5625,173.45,173.45,173.45,173.45,1.690000057220459,-1.0099999904632568,-3.549999952316284,1.690000057220459,-1.069999933242798,-3.21500015258789,1.690000057220459,-1.1399999856948853,-3.2033333778381348,1.8233333826065063,-1.2100000381469729,-3.133333444595337
Cottontail Fire,f17c523c-bf01-4245-899b-7c2331096dae,292.0,251.5,219.25,212.0,209.125,206.35,206.35,206.35,206.35,0.8999999761581421,-1.1299999952316284,-3.930000066757202,0.8999999761581421,-0.9049999713897704,-3.5349998474121094,0.8666666746139526,-0.8700000047683716,-3.4833333492279053,0.8333333134651184,-0.9399999976158142,-3.2933332920074463
Water Fire,13850faa-5bab-4fd7-bac3-433ce9250c4d,241.0,239.0,204.875,188.25,179.9375,176.66666666666666,176.66666666666666,176.66666666666666,176.66666666666666,1.690000057220459,-1.4500000476837158,-3.670000076293945,1.690000057220459,-1.3650000095367432,-3.609999895095825,1.690000057220459,-1.3933333158493042,-3.613333225250244,1.6883333921432495,-1.4216667413711548,-3.5933332443237305
Border Fire,e077e091-f890-477c-b948-eb23774b432e,219.0,215.0,167.875,145.25,133.9375,125.85714285714286,125.85714285714286,125.85714285714286,125.85714285714286,1.690000057220459,-1.1299999952316284,-3.509999990463257,1.690000057220459,-1.1299999952316284,-3.509999990463257,1.690000057220459,-1.1799999475479126,-3.5,1.5816667079925537,-1.1799999475479126,-3.434999942779541
San Felipe Fire,859479e3-918c-42c6-bb74-5fdc17930a16,219.0,215.0,167.875,145.25,133.9375,125.85714285714286,125.85714285714286,125.85714285714286,125.85714285714286,2.0899999141693115,-1.0099999904632568,-2.9600000381469727,2.0899999141693115,-1.0099999904632568,-2.9600000381469727,1.956666588783264,-0.9733332991600036,-2.963333368301392,1.888333320617676,-1.0516666173934937,-2.9200000762939453
Smiley Fire,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,241.0,239.0,204.875,188.25,179.9375,176.66666666666666,176.66666666666666,176.66666666666666,176.66666666666666,2.0899999141693115,-1.0099999904632568,-3.0799999237060547,1.8899999856948853,-1.0099999904632568,-3.0899999141693115,1.956666588783264,-1.0099999904632568,-3.0933332443237305,1.956666588783264,-1.0499999523162842,-3.054999828338623
Homestead Fire,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,292.0,271.75,232.375,219.0,215.3125,210.42857142857142,210.42857142857142,210.42857142857142,210.42857142857142,1.4500000476837158,-1.0099999904632568,-3.7699999809265137,1.4500000476837158,-1.0099999904632568,-3.735000133514404,1.4500000476837158,-1.0099999904632568,-3.696666717529297,1.340000033378601,-1.0499999523162842,-3.56166672706604
General Fire,07a5397c-a665-4f84-9a82-5f689cb2c8f3,219.0,215.0,167.875,145.25,133.9375,125.85714285714286,125.85714285714286,125.85714285714286,125.85714285714286,2.0899999141693115,-1.1299999952316284,-3.200000047683716,2.0899999141693115,-0.8500000238418579,-2.7799999713897705,2.0899999141693115,-0.903333306312561,-2.783333301544189,1.9166666269302368,-1.028333306312561,-2.756666660308838
White Fire,abc61995-8bea-4be1-aa49-ee378ab3baaa,278.0,259.0,196.375,170.58333333333334,162.9375,167.76190476190476,167.76190476190476,167.76190476190476,167.76190476190476,2.0899999141693115,-1.0099999904632568,-3.670000076293945,2.0899999141693115,-1.1449999809265137,-3.6449999809265137,1.956666588783264,-1.100000023841858,-3.609999895095825,1.9166666269302368,-1.183333396911621,-3.4716665744781494
Magic Fire,794412f2-1ba2-4217-ac38-49272a96fb6f,229.0,229.0,203.5,179.66666666666666,168.0,171.1818181818182,171.1818181818182,171.1818181818182,171.1818181818182,1.690000057220459,-1.4500000476837158,-4.300000190734863,1.690000057220459,-1.4500000476837158,-4.369999885559082,1.690000057220459,-1.4500000476837158,-4.363333225250244,1.6500000953674316,-1.4500000476837158,-4.304999828338623
Olive Fire,cb5f34a0-177e-445d-9349-dd94063a01d0,278.0,278.0,217.25,181.83333333333334,171.5625,172.77272727272728,172.77272727272728,172.77272727272728,172.77272727272728,2.0899999141693115,-1.2799999713897705,-4.28000020980835,2.0899999141693115,-1.2799999713897705,-4.28000020980835,2.0899999141693115,-1.3933333158493042,-4.206666946411133,2.0899999141693115,-1.4216667413711548,-4.061666965484619
Powerhouse Fire,bf37805e-1cc2-4208-9972-753e47874c87,229.0,229.0,203.5,179.66666666666666,168.0,171.1818181818182,171.1818181818182,171.1818181818182,171.1818181818182,1.4500000476837158,-1.4500000476837158,-3.640000104904175,1.5700000524520874,-1.3650000095367432,-3.5199999809265137,1.53000009059906,-1.3933333158493042,-3.5299999713897705,1.53000009059906,-1.3933333158493042,-3.5233333110809326
Shelton Fire,0b51d59b-457d-4a62-b066-55c2b8d400e2,200.0,200.0,155.25,137.16666666666666,119.1875,102.77272727272727,102.77272727272727,102.77272727272727,102.77272727272727,1.1299999952316284,-1.4500000476837158,-3.119999885559082,1.2899999618530271,-1.125,-3.0799999237060547,1.2866666316986084,-1.0166666507720947,-3.033333301544189,1.3799999952316284,-0.7649999856948853,-2.8433332443237305
Branch Fire,213dc89e-9f29-4480-91a6-aec5fb694999,292.0,292.0,245.5,226.0,221.5,214.13636363636363,214.13636363636363,214.13636363636363,214.13636363636363,1.4500000476837158,-1.0099999904632568,-3.5299999713897705,1.5700000524520874,-0.9549999833106996,-3.509999990463257,1.6100000143051147,-1.0133333206176758,-3.486666679382324,1.5416667461395264,-0.878333330154419,-3.371666669845581
Murphy Fire,98bfbb7c-8446-4e2e-a268-7e961353723c,263.0,263.0,224.5,200.83333333333334,168.375,132.22727272727272,132.22727272727272,132.22727272727272,132.22727272727272,1.2799999713897705,-1.4500000476837158,-3.0299999713897705,1.2799999713897705,-1.2799999713897705,-3.039999961853028,1.553333401679993,-0.8999999761581421,-2.906666755676269,1.5133333206176758,-0.7333333492279053,-2.6666667461395264
Lone Fire,1a5192f1-bc99-4130-8683-381e0534b76a,200.0,200.0,150.0,127.83333333333333,110.5,80.36363636363636,80.36363636363636,80.36363636363636,80.36363636363636,1.4500000476837158,-1.690000057220459,-2.950000047683716,1.4500000476837158,-1.690000057220459,-2.9600000381469727,1.8766666650772093,-1.2366666793823242,-2.859999895095825,1.9619998931884768,-0.9580000042915344,-2.7300000190734863
152 Fire,f9e85371-fc46-4f54-822c-7dcdaadde551,300.0,292.5,253.375,231.91666666666666,221.375,212.69565217391303,212.69565217391303,212.69565217391303,212.69565217391303,1.4500000476837158,-1.690000057220459,-3.7799999713897705,1.2899999618530271,-1.4850000143051147,-3.759999990463257,1.34333336353302,-1.3266667127609253,-3.740000009536743,1.2666666507720947,-1.2083333730697632,-3.6566667556762695
Lake Fire,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,200.0,200.0,162.5,136.33333333333334,123.25,85.73913043478261,85.73913043478261,85.73913043478261,85.73913043478261,2.0899999141693115,-2.0899999141693115,-3.0,2.0899999141693115,-2.0899999141693115,-3.1050000190734863,2.0899999141693115,-1.5999999046325684,-3.0799999237060547,2.0233333110809326,-1.0083333253860474,-2.9733333587646484
Vasco Fire,2ad509e4-99f1-4e1a-81eb-839f772f9c45,200.0,200.0,162.5,141.66666666666666,130.5625,92.21739130434783,92.21739130434783,92.21739130434783,92.21739130434783,1.690000057220459,-2.0899999141693115,-3.0299999713897705,1.690000057220459,-2.0899999141693115,-3.0299999713897705,1.553333401679993,-1.496666669845581,-2.943333387374878,1.5600000619888306,-1.2179999351501465,-2.8580000400543213
Viper Fire,e9505435-e861-4f33-9069-b0040fb2a135,268.0,247.75,229.75,204.83333333333334,192.375,183.43478260869566,183.43478260869566,183.43478260869566,183.43478260869566,1.690000057220459,-1.0099999904632568,-3.1700000762939453,1.690000057220459,-1.0099999904632568,-3.1700000762939453,1.8233333826065063,-1.0099999904632568,-3.2033333778381348,1.7699999809265137,-1.0099999904632568,-3.2179999351501465
Hathaway Fire,befb9d5c-c0ea-48b8-8589-2586be0275af,268.0,247.75,229.75,204.83333333333334,192.375,183.43478260869566,183.43478260869566,183.43478260869566,183.43478260869566,1.690000057220459,-1.1299999952316284,-3.039999961853028,1.690000057220459,-1.1299999952316284,-3.0199999809265137,1.690000057220459,-1.1299999952316284,-3.0299999713897705,1.756666660308838,-1.1150000095367432,-3.059999942779541
Sonoma-Lake-Napa Unit Lightning Fires,5ce45b6c-81b5-422c-9078-8c68dd872c8a,200.0,200.0,162.5,136.75,123.875,86.17391304347827,86.17391304347827,86.17391304347827,86.17391304347827,1.4500000476837158,-2.0899999141693115,-3.440000057220459,1.2899999618530271,-2.0899999141693115,-3.400000095367432,1.1966667175292969,-1.956666588783264,-3.363333225250244,1.2133333683013916,-1.350000023841858,-3.2116665840148926
Roadrunner Fire,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,200.0,200.0,175.25,150.16666666666666,133.875,89.25,89.25,89.25,89.25,1.2799999713897705,-2.0899999141693115,-3.309999942779541,1.2799999713897705,-2.0899999141693115,-3.309999942779541,1.2300000190734863,-1.956666588783264,-3.2266666889190674,1.2833333015441897,-1.2949999570846558,-3.065000057220459
Revis Fire,7055a440-5d4c-4f58-bac9-2954ff6698a5,300.0,300.0,283.5,263.0,247.3125,222.125,222.125,222.125,222.125,1.2799999713897705,-1.690000057220459,-3.849999904632568,1.2799999713897705,-1.4500000476837158,-3.7100000381469727,1.1899999380111694,-1.53000009059906,-3.6666667461395264,1.159999966621399,-1.2716666460037231,-3.575000047683716
Clinton Fire,a2cfda2a-21c1-4e45-90b5-37d931b4a926,300.0,300.0,295.0,283.6666666666667,278.125,252.08333333333334,252.08333333333334,252.08333333333334,252.08333333333334,1.4500000476837158,-1.690000057220459,-3.559999942779541,1.4500000476837158,-1.690000057220459,-3.559999942779541,1.336666703224182,-1.53000009059906,-3.506666660308838,1.3140000104904177,-1.3000000715255735,-3.450000047683716
Michelle Fire,953f17a1-2034-467b-b48c-28da1a9af60e,300.0,300.0,295.0,283.6666666666667,278.125,252.08333333333334,252.08333333333334,252.08333333333334,252.08333333333334,1.4500000476837158,-1.690000057220459,-3.5,1.4500000476837158,-1.690000057220459,-3.5,1.336666703224182,-1.53000009059906,-3.443333387374878,1.3140000104904177,-1.3000000715255735,-3.385999917984009
PFE Fire,fe47b1c2-b9c0-44be-8d10-f270056db35c,200.0,200.0,179.75,153.16666666666666,133.375,89.41666666666667,89.41666666666667,89.41666666666667,89.41666666666667,1.690000057220459,-2.0899999141693115,-3.319999933242798,1.690000057220459,-2.0899999141693115,-3.319999933242798,1.4233334064483645,-2.0899999141693115,-3.2333333492279053,1.53000009059906,-1.681999921798706,-3.124000072479248
Palmyrita Fire,2d1f0c40-92e7-4540-991b-d353ed68ec6c,268.0,254.5,243.875,214.25,199.4375,186.95833333333334,186.95833333333334,186.95833333333334,186.95833333333334,2.0899999141693115,-1.1299999952316284,-2.990000009536743,1.8899999856948853,-1.069999933242798,-3.0199999809265137,1.8233333826065063,-1.0499999523162842,-3.0199999809265137,1.956666588783264,-1.0299999713897705,-3.0433332920074463
Rolling Fire,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,300.0,300.0,283.5,263.0,247.3125,222.125,222.125,222.125,222.125,1.4500000476837158,-1.4500000476837158,-3.4800000190734863,1.3650000095367432,-1.5700000524520874,-3.470000028610229,1.336666703224182,-1.6100000143051147,-3.4566667079925537,1.2333333492279053,-1.4049999713897705,-3.424999952316284
Carstens Fire,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,300.0,300.0,275.0,250.0,227.3125,190.75,190.75,190.75,190.75,1.4500000476837158,-1.4500000476837158,-3.0299999713897705,1.4500000476837158,-1.4500000476837158,-2.96500015258789,1.4500000476837158,-1.4500000476837158,-2.9233334064483643,1.340000033378601,-1.1449999809265137,-2.808333396911621
Sierra Fire,15e7e15d-f707-473e-b0f3-6534cfd845b7,300.0,300.0,295.0,283.6666666666667,278.125,252.08333333333334,252.08333333333334,252.08333333333334,252.08333333333334,1.2799999713897705,-1.4500000476837158,-3.640000104904175,1.2799999713897705,-1.4500000476837158,-3.640000104904175,1.1799999475479126,-1.53000009059906,-3.5799999237060547,1.159999966621399,-1.34333336353302,-3.4600000381469727
California Fire,2b403f03-fe84-450a-90b7-befb8acc7e70,200.0,200.0,187.5,158.33333333333334,143.75,98.48,98.48,98.48,98.48,1.1299999952316284,-1.690000057220459,-3.259999990463257,1.2799999713897705,-1.690000057220459,-3.430000066757202,1.153333306312561,-1.956666588783264,-3.3533332347869877,1.128000020980835,-1.7939999103546145,-3.25
Mount Fire,d489b45e-dcba-4eaa-8bb5-6a23255562da,200.0,200.0,187.5,158.33333333333334,135.75,94.88,94.88,94.88,94.88,2.0899999141693115,-2.0899999141693115,-3.7100000381469727,2.0899999141693115,-2.0899999141693115,-3.659999847412109,2.0899999141693115,-2.0899999141693115,-3.6033332347869873,2.0899999141693115,-1.909999966621399,-3.375
George Fire,23ec2f69-da30-4983-80c2-1f04bfea6f9a,300.0,300.0,300.0,290.1666666666667,282.625,258.04,255.76923076923077,255.76923076923077,255.76923076923077,1.2799999713897705,-2.0899999141693115,-3.7899999618530273,1.3650000095367432,-1.7699999809265137,-3.7899999618530273,1.3933333158493042,-1.663333296775818,-3.7833333015441895,1.3650000095367432,-1.596666693687439,-3.7300000190734863
Mills Fire,6011819c-19ac-46c2-aa48-0ee8be0e48c0,271.0,271.0,269.0,259.1666666666667,251.625,244.44,244.1153846153846,244.1153846153846,244.1153846153846,1.690000057220459,-1.1299999952316284,-3.490000009536743,1.690000057220459,-1.1299999952316284,-3.490000009536743,1.690000057220459,-1.090000033378601,-3.463333368301392,1.690000057220459,-1.0579999685287476,-3.4160001277923584
Freeman Fire,58317b8d-7f4d-466f-b2c7-035c25fb00f0,300.0,267.5,250.25,211.66666666666666,192.25,166.04,165.03846153846155,165.03846153846155,165.03846153846155,2.0899999141693115,-2.0899999141693115,-4.409999847412109,2.0899999141693115,-2.0899999141693115,-4.429999828338623,2.0899999141693115,-1.956666588783264,-4.443333148956299,2.0233333110809326,-1.8233333826065063,-4.449999809265137
Concord Fire,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,300.0,225.0,212.5,175.0,156.25,111.6,107.92307692307692,107.92307692307692,107.92307692307692,1.690000057220459,-2.0899999141693115,-3.0799999237060547,1.690000057220459,-2.0899999141693115,-2.9600000381469727,1.690000057220459,-1.956666588783264,-2.9666666984558105,1.690000057220459,-1.743333339691162,-2.9033334255218506
Kirker Fire,522114fe-ada8-49a9-9bb2-5891103ff0ca,300.0,225.0,212.5,175.0,156.25,111.6,107.92307692307692,107.92307692307692,107.92307692307692,1.0099999904632568,-2.0899999141693115,-2.950000047683716,1.1449999809265137,-2.0899999141693115,-2.934999942779541,1.1899999380111694,-2.0899999141693115,-2.9133334159851074,1.2100000381469729,-2.0899999141693115,-2.815000057220459
Fox Fire (formally 3-7 Fire),8b51033d-abc6-4ea4-8983-990ad4e1c45e,300.0,275.0,237.5,223.91666666666666,222.125,226.44,227.85185185185185,227.85185185185185,227.85185185185185,0.3199999928474426,-1.0099999904632568,-3.200000047683716,0.3199999928474426,-1.0099999904632568,-3.1700000762939453,0.5533333420753479,-1.0099999904632568,-3.183333396911621,0.6520000100135803,-0.9879999756813048,-3.1600000858306885
Grant Fire,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,300.0,250.0,225.0,191.66666666666666,168.75,123.56,115.5925925925926,115.5925925925926,115.5925925925926,1.690000057220459,-2.0899999141693115,-3.069999933242798,1.5700000524520874,-2.0899999141693115,-3.069999933242798,1.4733333587646484,-2.0899999141693115,-3.066666603088379,1.5016666650772097,-1.850000023841858,-3.0216665267944336
Vina Fire,c94959d7-eb88-4724-8feb-ba0662afca10,300.0,250.0,225.0,191.66666666666666,167.1875,120.84,111.88888888888889,111.88888888888889,111.88888888888889,1.690000057220459,-2.0899999141693115,-3.150000095367432,1.8899999856948853,-2.0899999141693115,-3.1750001907348637,1.956666588783264,-2.0899999141693115,-3.193333387374878,2.0233333110809326,-2.0899999141693115,-3.164999961853028
Fallon Fire,4c04a4e5-f580-4e62-bb53-2575c72d29dc,300.0,250.0,225.0,191.66666666666666,168.75,123.56,115.5925925925926,115.5925925925926,115.5925925925926,1.690000057220459,-2.0899999141693115,-3.289999961853028,1.5700000524520874,-2.0899999141693115,-3.275000095367432,1.53000009059906,-2.0899999141693115,-3.253333330154419,1.6100000143051147,-2.0233333110809326,-3.1600000858306885
Chariot Fire,ee19b2ec-a96a-4738-994e-fb3ea016e053,231.0,232.5,227.5,210.41666666666666,182.8125,153.0,149.07407407407408,149.07407407407408,149.07407407407408,1.690000057220459,-1.0099999904632568,-2.690000057220459,1.690000057220459,-1.0099999904632568,-2.700000047683716,1.690000057220459,-1.0099999904632568,-2.7100000381469727,1.8899999856948853,-1.03166663646698,-2.720000028610229
Adelaida Fire,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,300.0,300.0,297.0,273.0833333333333,251.5625,232.64,230.03703703703704,230.03703703703704,230.03703703703704,2.0899999141693115,-1.690000057220459,-3.7799999713897705,1.690000057220459,-1.690000057220459,-3.940000057220459,1.8233333826065063,-1.690000057220459,-3.9800000190734863,1.7166666984558103,-1.5816667079925537,-4.018333435058594
Kyburz Fire,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,286.0,242.75,221.375,191.75,164.9375,115.08,106.85185185185185,106.85185185185185,106.85185185185185,1.690000057220459,-2.0899999141693115,-2.2799999713897705,1.690000057220459,-2.0899999141693115,-2.2799999713897705,1.6100000143051147,-2.0899999141693115,-2.289999961853028,1.722000002861023,-2.009999990463257,-2.2660000324249268
McGanney Fire,397ed8e6-6088-4e03-9316-8f50c65a83be,300.0,250.0,225.0,191.66666666666666,167.125,118.0,109.25925925925925,109.25925925925925,109.25925925925925,1.690000057220459,-2.0899999141693115,-2.7699999809265137,1.690000057220459,-2.0899999141693115,-2.789999961853028,1.690000057220459,-2.0899999141693115,-2.9166667461395264,1.850000023841858,-1.9299999475479128,-2.96399998664856
Fiddler Fire,3f64fc8a-8870-4e64-b60a-3e13c8532acd,300.0,287.0,243.5,212.33333333333334,184.25,130.72,116.82142857142857,116.82142857142857,116.82142857142857,1.690000057220459,-2.0899999141693115,-2.970000028610229,1.690000057220459,-2.0899999141693115,-3.005000114440918,1.690000057220459,-2.0899999141693115,-3.033333301544189,1.7166666984558103,-1.8766666650772093,-3.065000057220459
Uvas Fire,e779a754-29fd-472f-8d29-46cfee32d3c2,300.0,275.25,238.0,208.66666666666666,181.5,136.2,124.28571428571429,124.28571428571429,124.28571428571429,2.0899999141693115,-2.0899999141693115,-3.900000095367432,2.0899999141693115,-2.0899999141693115,-3.900000095367432,2.0899999141693115,-2.0899999141693115,-3.93666672706604,2.0899999141693115,-2.0899999141693115,-3.9616665840148926
Diablo Fire,873074c8-4b6d-417b-a78c-1d1430027805,300.0,289.25,266.125,241.08333333333334,217.5625,188.52,185.60714285714286,185.60714285714286,185.60714285714286,1.690000057220459,-2.0899999141693115,-3.1600000858306885,1.690000057220459,-2.0899999141693115,-3.1600000858306885,1.690000057220459,-1.956666588783264,-3.193333387374878,1.756666660308838,-1.715000033378601,-3.2083334922790527
Mountain Fire,a3149fec-4d48-427c-8b2c-59e8b79d59db,269.0,268.5,261.5,252.08333333333334,227.8125,202.16,198.60714285714286,198.60714285714286,198.60714285714286,1.0099999904632568,-1.1299999952316284,-2.9600000381469727,0.9549999833106996,-1.204999923706055,-2.8449997901916504,1.06333327293396,-1.1799999475479126,-2.8533332347869877,1.3350000381469729,-1.1799999475479126,-2.875
Redlands Fire,d48a839f-d8da-44d7-9b35-b9f61aa28c61,269.0,268.75,265.0,256.3333333333333,234.9375,206.16,201.0344827586207,201.0344827586207,201.0344827586207,1.4500000476837158,-1.4500000476837158,-2.8499999046325684,1.7699999809265137,-1.4500000476837158,-2.869999885559082,1.743333339691162,-1.4500000476837158,-2.886666774749756,1.7833333015441897,-1.340000033378601,-2.931666612625122
Rancho Fire,591a56a5-e9c0-45a0-96bd-34098588c39b,300.0,300.0,300.0,300.0,291.0,285.84,284.2758620689655,284.2758620689655,284.2758620689655,2.0899999141693115,-2.0899999141693115,-3.7799999713897705,2.0899999141693115,-2.0899999141693115,-3.804999828338623,2.0899999141693115,-2.0899999141693115,-3.8333332538604736,2.0899999141693115,-2.0899999141693115,-3.910000085830689
