,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,lon,lat,fire_start_date,rmax_mean_8w,rmin_mean_8w,sph_mean_8w,srad_mean_8w,tmmn_mean_8w,tmmx_mean_8w,vs_mean_8w,bi_mean_8w,fm100_mean_8w,fm1000_mean_8w,erc_mean_8w,etr_mean_8w,pet_mean_8w,vpd_mean_8w,pr_sum_8w,th_sin_8w,th_cos_8w,rmax_mean_6w,rmin_mean_6w,sph_mean_6w,srad_mean_6w,tmmn_mean_6w,tmmx_mean_6w,vs_mean_6w,bi_mean_6w,fm100_mean_6w,fm1000_mean_6w,erc_mean_6w,etr_mean_6w,pet_mean_6w,vpd_mean_6w,pr_sum_6w,th_sin_6w,th_cos_6w,rmax_mean_4w,rmin_mean_4w,sph_mean_4w,srad_mean_4w,tmmn_mean_4w,tmmx_mean_4w,vs_mean_4w,bi_mean_4w,fm100_mean_4w,fm1000_mean_4w,erc_mean_4w,etr_mean_4w,pet_mean_4w,vpd_mean_4w,pr_sum_4w,th_sin_4w,th_cos_4w,rmax_mean_2w,rmin_mean_2w,sph_mean_2w,srad_mean_2w,tmmn_mean_2w,tmmx_mean_2w,vs_mean_2w,bi_mean_2w,fm100_mean_2w,fm1000_mean_2w,erc_mean_2w,etr_mean_2w,pet_mean_2w,vpd_mean_2w,pr_sum_2w,th_sin_2w,th_cos_2w,log_acres_burned
1172,Silver Fire,Y,2019-01-04T08:58:00Z,2018-09-28T14:44:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Oak Run Rd and Little Ridge Rd, Palo Cedro",76.0,100.0,,CAL FIRE Shasta-Trinity Unit,-122.17173,40.5939,,b181e69a-5864-44c1-b5b4-f4c5832a4539,https://www.fire.ca.gov/incidents/2018/9/28/silver-fire/,2019-01-04T08:58:00Z,2019-01-04,2018-09-28,N,True,False,-122.17173,40.5939,2018-09-28,44.899998,12.485716,0.005518571,321.32858,290.6,309.77853,3.3428571,62.07143,5.057143,5.271428,89.92857,11.635714,8.171429,3.2178571,0.0,-0.116454944,-0.7944644,51.257137,15.707144,0.0055171433,304.52856,288.55,306.84286,2.8928573,56.357143,5.85,5.357143,87.0,9.442857,6.7428575,2.652857,0.0,0.04209603,-0.87794006,49.521423,11.907143,0.0049085715,265.57144,287.77142,307.56427,3.0714288,57.57143,6.0428567,5.828572,85.28571,9.728572,6.6285715,2.8407147,0.0,-0.4132876,-0.5944619,51.607143,11.571429,0.0041199997,240.53572,284.78574,305.17142,3.5928571,60.642857,6.5,6.2357144,83.0,9.607142,6.328572,2.4714284,0.0,0.02154425,-0.80708355,4.343805421853684
1173,Quimby Fire,Y,2019-01-04T09:02:00Z,2018-09-23T16:23:00Z,CAL FIRE Santa Clara Unit,,Santa Clara,"Quimby Rd & Borden Dr, East San Jose ",30.0,100.0,,CAL FIRE Santa Clara Unit,-121.75815,37.33563,,04100255-b014-4a69-92c2-5388c7f9b9d6,https://www.fire.ca.gov/incidents/2018/9/23/quimby-fire/,2019-01-04T09:02:00Z,2019-01-04,2018-09-23,N,True,False,-121.75815,37.33563,2018-09-23,60.114285,16.171429,0.0068157143,335.69998,288.79288,304.88574,4.807143,63.07143,6.985714,8.55,72.0,11.507143,8.114285,2.1592858,0.0,-0.677668,0.7303123,81.02858,26.835714,0.007377858,315.65717,285.65,300.69998,3.364286,48.57143,10.007143,8.692857,64.92857,7.6714287,5.7642856,1.4350001,0.0,-0.8901598,0.3001059,81.671425,29.685717,0.0077557145,288.10712,285.3857,300.07144,3.5785713,44.07143,12.264287,10.714286,54.357143,7.0285726,5.2642856,1.2707144,0.0,-0.8549231,0.2156979,78.03571,24.078571,0.0061921435,261.84286,283.45715,299.0143,4.4785714,50.92857,11.028572,10.699999,57.0,7.45,5.228572,1.3528572,0.0,-0.7131981,0.6418123,3.4339872044851463
1174,Nimshew Fire,Y,2019-01-04T09:01:00Z,2018-09-24T00:41:00Z,CAL FIRE Butte Unit,,Butte,"Nimshew Rd & Centerville Rd, Magalia",33.0,100.0,,"CAL FIRE Butte Unit, Butte Creek Canyon Volunteers, Durham Volunteers, Kelly Ridge Volunteers, PG&E, CHP, Butte County Pulbic Works, BCSO.",-121.62168,39.84151,,9856efb8-4d41-4276-9d4e-a5b29d912996,https://www.fire.ca.gov/incidents/2018/9/24/nimshew-fire/,2019-01-04T09:01:00Z,2019-01-04,2018-09-24,N,True,False,-121.62168,39.84151,2018-09-24,32.328575,12.478572,0.005106429,335.52856,293.27142,307.4143,2.892857,69.28571,4.5071425,5.4714284,93.42857,10.47857,7.6285715,3.1242855,0.0,-0.16394982,-0.89669937,35.99286,13.349999,0.004817857,313.57858,291.16425,305.5143,2.9928572,70.28571,4.864286,5.0499997,94.21429,9.757143,6.9857144,2.762857,0.0,0.3016312,-0.9003579,42.321434,14.478571,0.005163572,281.97855,290.67142,305.35715,2.8928568,66.42857,6.014286,5.571429,89.28571,8.971429,6.321429,2.6728573,0.0,0.0420597,-0.75133526,40.514286,12.45,0.003767857,252.50002,286.85,301.33572,3.3,71.64286,5.578572,5.542857,90.78571,8.357142,5.7000003,2.1607144,0.0,-0.07049455,-0.5698007,3.5263605246161616
1175,Shandon Fire,Y,2019-01-04T08:58:00Z,2018-09-29T09:30:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Gillis Canyon Road and San Juan Road, east of Paso Robles",80.0,100.0,,CAL FIRE San Luis Obispo Unit,-120.258,-120.258,,9c03d484-e442-4eaa-8a7b-99d6c769750a,https://www.fire.ca.gov/incidents/2018/9/29/shandon-fire/,2019-01-04T08:58:00Z,2019-01-04,2018-09-29,N,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.394449154672439
1176,Keenbrook Fire,Y,2019-01-04T09:00:00Z,2018-09-26T10:56:00Z,San Bernardino National Forest,,San Bernardino,"Cajon Blvd and Kenwood Ave, Devore",53.0,100.0,,San Bernardino National Forest,-117.42431,34.24138,,2c41731e-1e13-494c-b7f7-928b89bb7d32,https://www.fire.ca.gov/incidents/2018/9/26/keenbrook-fire/,2019-01-04T09:00:00Z,2019-01-04,2018-09-26,N,False,False,-117.42431,34.24138,2018-09-26,62.37857,20.178572,0.009412856,310.81424,293.02856,308.50714,3.0071428,56.714287,7.5214286,8.45,72.92857,9.735715,7.278571,2.67,0.0,-0.71527064,-0.44295695,70.557144,24.47857,0.009602858,294.56427,290.5,305.1,3.214286,52.57143,9.864286,9.192857,65.5,8.607142,6.4642863,1.9564288,0.0,-0.7819992,-0.4910383,61.128567,18.164288,0.007647857,275.63568,289.7429,305.7857,3.1571426,58.214287,7.8857145,8.550001,72.64286,8.892858,6.4214287,2.3042858,0.0,-0.28119072,-0.3228821,49.842857,14.1285715,0.005883571,253.63573,288.9286,304.4143,3.1499996,53.0,6.4357142,7.7000003,76.71429,8.478572,5.9357142,2.3228571,0.0,-0.37698942,-0.6318835,3.9889840465642745
1177,Nacimiento Fire,Y,2019-01-04T08:57:00Z,2018-10-02T12:32:00Z,Fort Hunter Liggett Military Reservation,,Monterey,"Nacimiento Fergusson Rd, west of Jolon",150.0,100.0,,Fort Hunter Liggett Military Reservation,-121.24898,35.97677,,9d69b6cb-1dee-43df-83ca-b2b5485006d7,https://www.fire.ca.gov/incidents/2018/10/2/nacimiento-fire/,2019-01-04T08:57:00Z,2019-01-04,2018-10-02,N,False,False,-121.24898,35.97677,2018-10-02,60.85,9.042856,0.005218572,322.9,285.35712,310.7857,3.3785717,59.92857,6.014286,6.1928573,84.71429,11.942857,8.285714,3.1814287,0.0,-0.66941816,-0.56917477,82.17857,15.792857,0.00573,303.47855,281.6286,305.2643,3.085714,49.5,10.071428,7.6,70.42857,9.078571,6.4928575,2.0814288,0.0,-0.6973457,-0.46353394,58.578564,8.914286,0.00402,277.20712,281.48575,306.4,2.792857,51.07143,7.0285716,7.935714,75.71429,9.1428585,6.292857,2.5421429,0.0,-0.8812631,-0.11202,68.99286,11.735715,0.0043792855,251.19998,280.19284,305.35715,2.6285713,48.92857,7.9999995,7.5999994,74.78571,7.850001,5.3928566,2.2828572,0.0,-0.41215977,-0.6279925,5.017279836814924
1178,Eagle Fire,Y,2019-01-04T09:47:00Z,2018-10-02T15:45:00Z,Sierra National Forest,,Fresno," Bobs Flat Trail, 3 miles north of Trimmer",32.0,100.0,,Sierra National Forest,-119.3127769,36.938674,,8c4b830f-be4f-4469-9448-f0e98ea1d189,https://www.fire.ca.gov/incidents/2018/10/2/eagle-fire/,2019-01-04T09:47:00Z,2019-01-04,2018-10-02,N,False,False,-119.3127769,36.938674,2018-10-02,41.27143,12.035714,0.0065150005,316.3857,293.62143,310.12143,2.442857,65.14286,4.735714,5.4500003,93.21429,9.735713,7.1999993,3.3600001,0.0,-0.8158336,0.54332376,53.84286,17.178572,0.006654286,295.76425,289.55713,305.52856,2.142857,57.785713,6.307143,5.6714287,87.78571,7.6571426,5.807143,2.3614285,0.0,-0.82860225,0.31521776,41.957146,10.657144,0.005112857,261.95712,289.71426,305.71432,2.7428572,66.42857,5.421428,5.7857137,90.28571,8.7,6.0928574,2.6714284,0.0,-0.7505345,0.6329469,44.235718,11.035714,0.004867143,240.10716,288.48572,305.1357,2.2214286,61.857143,5.521428,5.535714,91.21429,7.1,4.9928575,2.5492857,0.0,-0.637559,0.3021314,3.4965075614664802
1179,Sun Fire,Y,2019-01-04T08:57:00Z,2018-10-07T12:51:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Hwy 36 and Sunriver Road, east of Red Bluff",3889.0,100.0,All roads are open.,CAL FIRE Tehama-Glenn Unit,-122.18,40.22027778,,8f633ae7-b5f0-455f-a60e-13d9566e5844,https://www.fire.ca.gov/incidents/2018/10/7/sun-fire/,2019-01-04T08:57:00Z,2019-01-04,2018-10-07,N,True,False,-122.18,40.22027778,2018-10-07,47.107143,12.207143,0.005045,310.89996,289.29285,308.19998,3.257143,58.857143,5.207143,5.142857,89.42857,10.707143,7.5,2.9635713,0.0,0.3955109,0.0053490526,54.342857,14.464287,0.0055078575,282.75717,288.4,307.50714,3.1642857,55.0,6.592857,5.828572,83.21429,9.785714,6.8142853,2.7399998,0.0,-0.016058479,0.07800793,51.799995,12.292857,0.0040271427,253.91428,284.70712,304.0,3.3785717,56.857143,6.271428,6.0,83.57143,9.114286,6.0999994,2.3121428,0.0,-0.109770104,0.20564504,67.88572,27.35,0.006562858,184.26428,286.74283,302.44998,3.7999997,38.5,9.942858,7.192857,66.0,7.307143,4.857143,1.8549998,14.400001,0.017652435,0.36271068,8.266164436612492
1180,Park Fire,Y,2019-01-04T08:57:00Z,2018-10-07T12:57:00Z,CAL FIRE Santa Clara Unit/San Jose City Fire & South Santa Clara County FPD,,Santa Clara,"Monterey Road and Coyote Creek Golf Drive, north of Morgan Hill",63.0,100.0,,CAL FIRE Santa Clara Unit/San Jose City Fire & South Santa Clara County FPD,-121.68694444,37.1769444,,f19a49b4-9d0f-4c61-83ea-9b4a741b0bef,https://www.fire.ca.gov/incidents/2018/10/7/park-fire/,2019-01-04T08:57:00Z,2019-01-04,2018-10-07,N,False,False,-121.68694444,37.1769444,2018-10-07,79.2,27.157139,0.007542143,312.30713,286.3,300.94284,3.371429,46.57143,10.385715,9.521429,61.42857,7.835715,5.8857145,1.4599999,0.0,-0.87123674,0.32955977,86.93572,30.44286,0.007902858,287.47858,285.2214,300.06427,3.6785712,42.5,13.257143,11.414285,50.714287,7.128571,5.3142858,1.2385714,0.0,-0.8248357,0.25313696,80.8,23.164288,0.006187857,262.8786,282.96426,299.52856,4.7000003,50.214287,11.514285,11.485713,54.142857,7.8642855,5.457143,1.3749999,0.0,-0.6618239,0.667035,85.721436,31.257141,0.0076921424,214.09288,284.67145,299.39996,3.55,39.0,12.571428,11.514285,50.642857,5.642857,4.05,1.195,2.0,-0.39652976,-0.31802648,4.1588830833596715
1181,Iron Gate Fire,Y,2019-01-04T08:55:00Z,2018-10-10T21:50:00Z,CAL FIRE Siskiyou Unit,,Siskiyou,1 mile northwest of Iron Gate Dam,15.0,100.0,,CAL FIRE Siskiyou Unit,-122.43933,41.94046,,28725d54-51bc-41f9-99ed-aca0396be12a,https://www.fire.ca.gov/incidents/2018/10/10/iron-gate-fire/,2019-01-04T08:55:00Z,2019-01-04,2018-10-10,N,True,False,-122.43933,41.94046,2018-10-10,53.45,11.735715,0.005365,297.92142,285.9714,307.34283,2.9428573,65.42857,6.0285716,6.342858,86.28571,9.65,6.8428574,2.6578577,0.0,-0.69123274,-0.5527111,66.185715,12.900001,0.005206429,263.33572,282.2857,304.72858,3.107143,64.5,7.1857142,6.592857,82.78571,8.642858,6.0285716,2.1671429,0.0,-0.6324714,-0.41679993,81.8,16.221428,0.004665714,232.70715,277.27856,299.67142,3.2499998,52.5,12.092858,9.042857,63.357143,6.9928565,4.785714,1.4664286,0.0,-0.3457759,-0.18009456,80.64286,28.628569,0.0057778573,162.95715,279.9,297.0357,3.1000001,29.571428,13.335714,10.8,49.07143,5.078572,3.4571433,1.2107142,12.999999,-0.3855026,-0.39382425,2.772588722239781
1182,Winters Fire,Y,2019-01-04T08:55:00Z,2018-10-12T11:21:00Z,Solano County Fire Protection District,,Solano,"Winters Rd & Allendale Rd, south of Winters",160.0,100.0,,Solano County Fire Protection District,-121.94658,38.45673,,e9c8c0aa-4d21-4f09-9858-890ea163d580,https://www.fire.ca.gov/incidents/2018/10/12/winters-fire/,2019-01-04T08:55:00Z,2019-01-04,2018-10-12,N,False,False,-121.94658,38.45673,2018-10-12,85.85,25.32857,0.007571429,300.18576,286.0357,304.27145,5.0571427,57.214287,11.221428,9.007143,62.214287,10.178572,7.1214285,1.8378571,0.0,-0.84539443,-0.5297557,76.635704,17.942858,0.0067271427,271.35715,285.81427,306.24286,5.042857,57.357143,10.142856,10.178572,61.07143,11.185714,7.5428576,2.2121427,0.0,-0.8632498,-0.504155,68.921425,14.27857,0.0052464292,247.5143,283.91428,305.2857,3.5714283,50.857143,9.1214285,9.742858,64.64286,8.957143,6.0142856,2.2392857,0.0,-0.9213925,-0.24664132,78.67857,29.464289,0.0074485717,178.36427,286.54288,300.52142,3.9714286,41.285713,11.485715,10.221429,54.42857,6.5999994,4.442857,1.4014286,2.2,-0.9075754,-0.20326503,5.081404364984463
1183,Priest Fire,Y,2019-01-04T08:54:00Z,2018-10-13T14:43:00Z,CAL FIRE San Benito - Monterey Unit,,Monterey," Hwy 198 & Priest Valley Rd, east of San Lucas",167.0,100.0,,CAL FIRE San Benito - Monterey Unit,-120.69955,36.18401,,8a79c31d-0df0-4448-a855-b04cfc384825,https://www.fire.ca.gov/incidents/2018/10/13/priest-fire/,2019-01-04T08:54:00Z,2019-01-04,2018-10-13,N,True,False,-120.69955,36.18401,2018-10-13,76.685715,17.4,0.006266429,302.39996,283.4286,304.57144,3.385714,55.285713,9.542856,7.7642856,71.5,9.114285,6.5642858,2.027857,0.0,-0.8341344,-0.21976757,65.27143,11.77143,0.0052771424,274.95712,282.95712,305.89285,3.0928571,52.142857,8.985715,9.021428,68.57143,9.1,6.357143,2.3342855,0.0,-0.944758,0.1501092,61.79286,10.857142,0.0044378573,256.24286,281.50717,303.9929,2.892857,53.57143,7.6,8.307143,73.78571,8.071429,5.5642853,2.1485715,0.0,-0.7394201,-0.31233186,91.92857,31.949997,0.0068300003,206.6857,279.4643,296.55002,3.9999998,42.357143,14.864286,10.635713,50.214287,5.2285714,3.7071426,0.91071427,2.0,-0.7323113,-0.29969642,5.123963979403259
1184,Tower Fire,Y,2019-01-04T08:54:00Z,2018-10-14T06:45:00Z,CAL FIRE Shasta - Trinity Unit,,Shasta,"Cloverdale & Clear Creek, Near the community of Igo",12.0,100.0,,CAL FIRE Shasta - Trinity Unit,-122.51597,40.49618,,a8f54d41-fc8c-476c-9122-f1357aa166a0,https://www.fire.ca.gov/incidents/2018/10/14/tower-fire/,2019-01-04T08:54:00Z,2019-01-04,2018-10-14,N,True,False,-122.51597,40.49618,2018-10-14,52.714283,15.378571,0.0055071437,299.08572,288.62143,306.5357,2.4857142,52.42857,5.7785716,5.0642853,88.28571,8.549999,6.2285714,2.6150002,0.0,0.21230288,-0.013959885,46.85714,12.264285,0.004678571,265.2357,288.47858,306.2857,2.4928572,52.642857,5.5499997,5.4428573,87.5,8.271428,5.7999997,2.7571428,0.0,-0.40423256,0.02774084,48.014286,12.335714,0.004096429,236.00002,286.27142,305.06427,2.5071428,48.07143,5.75,5.714286,85.07143,7.4785714,5.085714,2.5471427,2.4,-0.0958663,0.1475517,71.16429,32.94286,0.0073621427,171.58571,287.1857,299.14285,2.7357144,24.571428,13.085715,9.642858,50.214287,5.207143,3.5928571,1.3514286,15.9,-0.14326313,0.40152857,2.5649493574615367
1185,Masonic Fire,Y,2019-01-04T08:53:00Z,2018-10-14T11:33:00Z,Redding City Fire,,Shasta,"Lake Blvd & Masonic Ave, Redding",38.0,100.0,,Redding City Fire,-122.38366,40.60866,,83c539f5-64c1-4156-86e5-ac6cf4c947d5,https://www.fire.ca.gov/incidents/2018/10/14/masonic-fire/,2019-01-04T08:53:00Z,2019-01-04,2018-10-14,N,False,False,-122.38366,40.60866,2018-10-14,51.44286,14.592857,0.0053257146,301.8643,288.25714,307.16428,2.5142858,54.285713,5.642857,4.9500003,89.5,8.842857,6.392857,2.707143,0.0,0.22188537,-0.060817074,48.085716,12.021429,0.0046935715,266.87857,287.97144,306.88574,2.6785715,55.42857,5.5571427,5.3642855,88.28571,8.735715,6.064286,2.808571,0.0,-0.3684876,0.048188094,48.649998,12.05,0.0041164286,237.96428,286.0214,305.6857,2.7428572,50.785713,5.799999,5.7000003,85.28571,8.121429,5.4357142,2.6128573,2.9,-0.14420374,0.12888771,74.450005,31.714283,0.0072857146,170.12143,286.32858,299.75,2.8785713,29.928572,13.571428,9.900001,50.785713,5.442857,3.735714,1.3707143,16.4,-0.10358395,0.41982654,3.6635616461296463
1186,Powellton Fire,Y,2019-01-04T08:52:00Z,2018-10-15T11:57:00Z,CAL FIRE Butte Unit,,Butte,"Upper Powellton Rd and Skyway, north of Stirling City",10.0,100.0,,CAL FIRE Butte Unit,-121.54103,39.93427,,b8dc21be-0807-4434-9536-45a4a660ed83,https://www.fire.ca.gov/incidents/2018/10/15/powellton-fire/,2019-01-04T08:52:00Z,2019-01-04,2018-10-15,N,True,False,-121.54103,39.93427,2018-10-15,38.485714,16.62143,0.0045214286,301.32855,288.00003,299.9929,3.142857,69.07143,5.6,5.1285715,91.14286,8.35,6.0642858,1.9892856,0.0,-0.19589694,-0.819849,36.642857,12.642858,0.00362,261.32858,286.62857,299.0,3.4499996,74.0,5.0928574,5.214286,93.07143,8.07857,5.621429,2.0057142,0.0,-0.22103365,-0.81355983,35.649998,12.592856,0.0032900001,236.55714,286.41428,298.74286,3.6,76.07143,5.0571427,5.228572,93.07143,7.864286,5.271428,1.99,0.0,0.05767868,-0.7550464,60.014286,29.221424,0.0050199996,177.89287,282.6,292.22144,4.792857,52.07143,11.849998,8.985715,59.0,5.885714,3.9071429,0.9942857,22.1,0.1469717,-0.75799525,2.3978952727983707
1187,Camino Fire,Y,2019-01-04T08:52:00Z,2018-10-19T14:10:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,Off Lopez Drive east of Arroyo Grande,58.0,100.0,,CAL FIRE San Luis Obispo Unit,-120.48861,35.17693,,a728d915-1c00-43b6-bd5b-228be34a38fe,https://www.fire.ca.gov/incidents/2018/10/19/camino-fire/,2019-01-04T08:52:00Z,2019-01-04,2018-10-19,N,True,False,-120.48861,35.17693,2018-10-19,97.185715,34.242855,0.008433572,283.44998,283.7786,300.22858,3.3928568,41.42857,15.142858,12.842857,45.142857,6.678571,5.100001,1.1185714,0.0,-0.76478946,0.03887515,80.821434,19.557144,0.0065300004,262.87857,283.8214,303.85715,3.5642858,47.357143,11.642858,12.657143,52.285713,8.235714,5.7999997,1.89,0.0,-0.7785277,0.33412552,92.564285,27.257141,0.007218572,225.67856,282.67142,300.82855,2.45,35.142857,13.707143,12.914287,47.285713,5.5,4.0642858,1.3335714,9.1,-0.5788445,-0.3797075,82.714294,24.350002,0.0061950004,212.67857,282.27145,299.89288,3.0785713,40.92857,13.349999,13.971428,46.07143,6.05,4.192857,1.3878572,0.0,-0.49025223,-0.3654992,4.07753744390572
1188,Market Fire,Y,2019-01-04T08:51:00Z,2018-10-24T12:18:00Z,CAL FIRE Tulare Unit,,Tulare,"Road 208 and Avenue 380, 5 miles north of Woodlake",120.0,100.0,,CAL FIRE Tulare Unit,-119.10433,36.47766,,87760805-5b1a-486e-91c4-590557929182,https://www.fire.ca.gov/incidents/2018/10/24/market-fire/,2019-01-04T08:51:00Z,2019-01-04,2018-10-24,N,True,False,-119.10433,36.47766,2018-10-24,44.942863,13.842857,0.0058071422,273.33572,291.07858,307.64285,2.8285716,66.28571,5.714286,5.4000006,90.35714,9.3571415,6.585715,2.8778574,0.0,-0.7287979,0.5238234,38.292854,9.678572,0.00389,245.1857,287.70712,305.0143,2.1214287,62.357143,4.864286,5.178571,94.0,7.2428565,5.0999994,2.6057143,0.0,-0.7286505,0.12958218,58.200005,22.27857,0.0060121426,205.59285,287.6,301.77856,2.607143,39.214287,8.864285,6.7,72.07143,6.1928573,4.328572,1.9035714,17.1,-0.6134824,-0.19801886,47.964287,14.857144,0.0042785713,195.57858,285.3857,299.92856,2.2714286,52.57143,7.3142858,8.135715,75.57143,5.5642853,3.7785714,1.8064287,0.0,-0.61508006,-0.43691874,4.795790545596741
1189,June Fire,Y,2019-01-04T08:50:00Z,2018-10-30T14:46:00Z,CAL FIRE Butte Unit/Butte County Fire Department,,Butte,"Four Junes Way and Palermo, south of Palermo ",550.0,100.0,,CAL FIRE Butte Unit/Butte County Fire Department,-121.51707,39.36529,,7ee82e4f-f5e8-4278-b4e7-e82c390b395e,https://www.fire.ca.gov/incidents/2018/10/30/june-fire/,2019-01-04T08:50:00Z,2019-01-04,2018-10-30,N,True,False,-121.51707,39.36529,2018-10-30,59.67857,16.064287,0.005482857,265.0,286.65,304.60715,2.4071426,48.07143,7.4071426,7.271428,76.07143,7.4857144,5.357143,2.2571428,0.0,0.66594136,0.10281418,54.92143,15.742857,0.0050728573,233.0,286.5071,304.65714,2.3642857,48.07143,7.214286,7.3285713,76.42857,6.8785715,4.785714,2.3121428,0.0,0.1349137,0.10599943,68.72858,25.214289,0.0065035713,183.31429,285.32144,300.47855,3.4428573,37.285713,12.321427,10.385714,53.42857,6.55,4.3642855,1.4971429,13.900001,-0.40085796,0.6224295,70.47857,19.128572,0.005144286,174.26427,282.25714,299.95,2.0357144,41.214287,8.535714,9.214286,66.64286,4.4714284,3.0142858,1.5285714,0.0,0.027305897,0.17590173,6.311734809152915
1190,Rincon Fire,Y,2019-01-04T08:50:00Z,2018-11-03T21:28:00Z,CAL FIRE San Mateo - Santa Cruz Unit,,Santa Cruz,"off Highway 9 and Rincon Crossing, north of Santa Cruz  ",17.0,100.0,,"CAL FIRE San Mateo - Santa Cruz Unit, California Department of Parks and Recreation, Santa Cruz County Sherrif’s Office, Santa Cruz Fire Department, Central Santa Cruz Fire District, Aptos-La Selva Fire District, Felton Fire District, Zayante Fire District, Branzaforte Fire District, Scotts Valley Fire District, Santa Cruz County Fire Department, California Highway Patrol, California Department of Corrections and Rehabilitation.",-122.046,37.0125,,7d1f523d-6940-4b64-bc5a-7ecb5a63538a,https://www.fire.ca.gov/incidents/2018/11/3/rincon-fire/,2019-01-04T08:50:00Z,2019-01-04,2018-11-03,N,True,False,-122.046,37.0125,2018-11-03,97.42858,31.007143,0.0072785714,243.85,281.30716,298.40717,4.8142853,41.92857,15.557143,15.107144,38.57143,6.5785713,4.6714287,1.0092857,0.0,-0.7138327,0.68075883,95.17857,41.157143,0.007981429,196.47142,283.2786,295.82855,2.6000001,28.857143,15.3785715,15.114285,37.0,3.9285715,3.0357146,0.74214286,1.1,-0.20106475,-0.24667606,88.9,27.192858,0.006222858,199.62144,280.91428,297.67856,3.1357143,35.0,14.528571,15.314286,39.714287,5.3428574,3.714286,1.1142857,0.5,-0.74919146,0.41081673,96.67143,28.985716,0.00683,169.25713,280.04282,297.8643,4.2714286,38.92857,15.814286,15.228572,38.07143,5.285714,3.5214286,0.98714286,0.0,-0.6001666,0.71718544,2.8903717578961645
1191,Brushy Fire,Y,2019-01-04T08:49:00Z,2018-11-08T11:58:00Z,CAL FIRE Mendocino Unit,,Mendocino,"near Dos Rios, off Highway 162, East of Highway 101 and West of Covelo",35.0,100.0,,CAL FIRE Mendocino Unit,-123.28774,39.62194,,10d67079-faa9-4034-a4d7-8346b450e7de,https://www.fire.ca.gov/incidents/2018/11/8/brushy-fire/,2019-01-04T08:49:00Z,2019-01-04,2018-11-08,N,True,False,-123.28774,39.62194,2018-11-08,73.92143,15.45,0.0050814277,251.15,280.1929,302.1286,4.664286,51.0,11.807143,10.307143,58.142857,8.735714,5.857143,1.7957143,0.0,-0.57955045,0.49120167,88.90714,39.13571,0.0076171425,180.31429,280.95,296.5,4.421428,25.714285,15.892858,13.099999,37.57143,4.857143,3.392857,0.86214286,36.5,-0.18969885,0.28747824,52.90714,10.042856,0.003747857,191.66428,281.1,300.05,2.5357144,40.57143,7.642857,12.1214285,59.42857,5.8714285,3.8214285,1.7585715,0.0,-0.5455217,-0.20274249,73.05,22.892857,0.0052650003,152.67142,278.82144,295.52142,5.2428565,47.0,12.507141,12.1214285,49.57143,6.085715,3.857143,1.0271429,0.9,-0.5005768,0.8284005,3.58351893845611
1192,Camp Fire,Y,2024-09-26T13:34:16Z,2018-11-08T06:33:00Z,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS",,Butte,Pulga Road at Camp Creek Road near Jarbo Gap,153336.0,100.0,See Incident Update,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS, California Department of Transportation, California Department of Corrections and Rehabilitation, California Highway Patrol, California Office of Emergency Services, National Weather Service, California Conservation Corps, Butte County, City of Chico",-121.4347,39.8134,Wildfire,75dafe80-f18a-4a4a-9a37-4b564c5f6014,https://www.fire.ca.gov/incidents/2018/11/8/camp-fire/,2018-11-25T08:00:00Z,2018-11-25,2018-11-08,N,True,False,-121.4347,39.8134,2018-11-08,39.02143,12.450002,0.0033471428,247.19998,285.73572,299.84286,3.8428574,76.78571,5.621429,5.557143,90.5,8.742857,5.828572,2.0242858,0.0,0.12174491,-0.7584246,63.2,32.79286,0.0059507145,183.25,285.61432,295.29282,4.4499993,43.714287,11.1214285,7.9357142,62.07143,6.1,4.1142855,1.215,27.600002,-0.057213776,-0.85786587,39.36429,11.635714,0.0030257143,189.3143,283.35715,296.06424,5.035714,76.14286,6.0357146,8.450001,77.28571,8.007143,5.042857,1.5814285,0.0,0.63454497,-0.5878545,45.957146,17.1,0.0037150003,158.7357,282.8857,295.1,4.2714286,69.5,7.1285715,7.657143,77.21429,6.3499994,3.935714,1.3878571,0.0,-0.07147258,-0.68904513,11.940393392554734
